round,client,attack,seed,alpha,num_byzantine,raw_score,softmax_weight,update_norm
1,0,lie,1,0.5,1,0.36407607793807983,0.0979192852973938,0.7142667770385742
1,1,lie,1,0.5,1,0.3751370310783386,0.09900838136672974,0.7128218412399292
1,2,lie,1,0.5,1,0.4359528422355652,0.10521651804447174,0.7290700674057007
1,3,lie,1,0.5,1,0.31333792209625244,0.0930749773979187,0.7078238725662231
1,4,lie,1,0.5,1,0.3686477541923523,0.09836797416210175,0.6945441961288452
1,5,lie,1,0.5,1,0.38029444217681885,0.09952032566070557,0.7386861443519592
1,6,lie,1,0.5,1,0.4686979055404663,0.1087188720703125,0.7406467199325562
1,7,lie,1,0.5,1,0.4162619113922119,0.10316497832536697,0.7300897836685181
1,8,lie,1,0.5,1,0.343031108379364,0.09588011354207993,0.684784471988678
1,9,lie,1,0.5,1,0.37634992599487305,0.09912854433059692,0.7193026542663574
2,0,lie,1,0.5,1,0.31273573637008667,0.09693879634141922,0.7093218564987183
2,1,lie,1,0.5,1,0.3605461120605469,0.10168605297803879,0.7241692543029785
2,2,lie,1,0.5,1,0.3722175359725952,0.1028798297047615,0.7236558198928833
2,3,lie,1,0.5,1,0.2957739233970642,0.09530840069055557,0.7312220931053162
2,4,lie,1,0.5,1,0.372381329536438,0.10289668291807175,0.7019152641296387
2,5,lie,1,0.5,1,0.3431205153465271,0.09992946684360504,0.750859260559082
2,6,lie,1,0.5,1,0.38493824005126953,0.10419689118862152,0.7159276008605957
2,7,lie,1,0.5,1,0.3366299271583557,0.09928296506404877,0.7179359197616577
2,8,lie,1,0.5,1,0.3222910165786743,0.09786951541900635,0.7231723070144653
2,9,lie,1,0.5,1,0.3338913917541504,0.09901144355535507,0.7454291582107544
3,0,lie,1,0.5,1,0.3142176866531372,0.09859272837638855,0.7041314840316772
3,1,lie,1,0.5,1,0.33375340700149536,0.1005377396941185,0.7070630788803101
3,2,lie,1,0.5,1,0.3564828038215637,0.1028490737080574,0.6908538341522217
3,3,lie,1,0.5,1,0.29822838306427,0.09702883660793304,0.7137889266014099
3,4,lie,1,0.5,1,0.3492429256439209,0.10210715234279633,0.7011165618896484
3,5,lie,1,0.5,1,0.33482223749160767,0.10064525902271271,0.7381381988525391
3,6,lie,1,0.5,1,0.33701997995376587,0.10086669027805328,0.6972396969795227
3,7,lie,1,0.5,1,0.32256650924682617,0.09941930323839188,0.6990648508071899
