round,attack,seed,alpha,num_byzantine,test_accuracy
1,signflip,1,0.1,3,0.0092
2,signflip,1,0.1,3,0.0168
3,signflip,1,0.1,3,0.0265
4,signflip,1,0.1,3,0.0397
5,signflip,1,0.1,3,0.0553
6,signflip,1,0.1,3,0.0471
7,signflip,1,0.1,3,0.0526
8,signflip,1,0.1,3,0.0514
9,signflip,1,0.1,3,0.0587
10,signflip,1,0.1,3,0.0564
11,signflip,1,0.1,3,0.0581
12,signflip,1,0.1,3,0.0629
13,signflip,1,0.1,3,0.0656
14,signflip,1,0.1,3,0.0731
15,signflip,1,0.1,3,0.071
16,signflip,1,0.1,3,0.0676
17,signflip,1,0.1,3,0.0644
18,signflip,1,0.1,3,0.0728
19,signflip,1,0.1,3,0.0527
20,signflip,1,0.1,3,0.0652
21,signflip,1,0.1,3,0.0557
22,signflip,1,0.1,3,0.0526
23,signflip,1,0.1,3,0.06
24,signflip,1,0.1,3,0.06
25,signflip,1,0.1,3,0.0516
26,signflip,1,0.1,3,0.0505
27,signflip,1,0.1,3,0.0662
28,signflip,1,0.1,3,0.0571
29,signflip,1,0.1,3,0.0816
30,signflip,1,0.1,3,0.0501
31,signflip,1,0.1,3,0.0856
32,signflip,1,0.1,3,0.0593
33,signflip,1,0.1,3,0.0711
34,signflip,1,0.1,3,0.04
35,signflip,1,0.1,3,0.0872
36,signflip,1,0.1,3,0.0691
37,signflip,1,0.1,3,0.0548
38,signflip,1,0.1,3,0.0737
39,signflip,1,0.1,3,0.0769
40,signflip,1,0.1,3,0.0575
41,signflip,1,0.1,3,0.04
42,signflip,1,0.1,3,0.0573
43,signflip,1,0.1,3,0.0443
44,signflip,1,0.1,3,0.0455
45,signflip,1,0.1,3,0.0633
46,signflip,1,0.1,3,0.0477
47,signflip,1,0.1,3,0.0593
48,signflip,1,0.1,3,0.0439
49,signflip,1,0.1,3,0.0304
50,signflip,1,0.1,3,0.03
51,signflip,1,0.1,3,0.0411
52,signflip,1,0.1,3,0.0318
53,signflip,1,0.1,3,0.0437
54,signflip,1,0.1,3,0.0297
55,signflip,1,0.1,3,0.0352
56,signflip,1,0.1,3,0.0358
57,signflip,1,0.1,3,0.0236
58,signflip,1,0.1,3,0.0226
59,signflip,1,0.1,3,0.0285
60,signflip,1,0.1,3,0.0158
61,signflip,1,0.1,3,0.0314
62,signflip,1,0.1,3,0.0291
63,signflip,1,0.1,3,0.0261
64,signflip,1,0.1,3,0.033
65,signflip,1,0.1,3,0.0321
66,signflip,1,0.1,3,0.0187
67,signflip,1,0.1,3,0.0289
68,signflip,1,0.1,3,0.0284
69,signflip,1,0.1,3,0.0295
70,signflip,1,0.1,3,0.0257
71,signflip,1,0.1,3,0.0129
72,signflip,1,0.1,3,0.0223
73,signflip,1,0.1,3,0.0211
74,signflip,1,0.1,3,0.0164
75,signflip,1,0.1,3,0.0142
76,signflip,1,0.1,3,0.0227
77,signflip,1,0.1,3,0.0171
78,signflip,1,0.1,3,0.0108
79,signflip,1,0.1,3,0.019
80,signflip,1,0.1,3,0.02
81,signflip,1,0.1,3,0.0147
82,signflip,1,0.1,3,0.0132
83,signflip,1,0.1,3,0.0127
84,signflip,1,0.1,3,0.0115
85,signflip,1,0.1,3,0.0174
86,signflip,1,0.1,3,0.0192
87,signflip,1,0.1,3,0.0128
88,signflip,1,0.1,3,0.0158
89,signflip,1,0.1,3,0.0126
90,signflip,1,0.1,3,0.0125
91,signflip,1,0.1,3,0.0134
92,signflip,1,0.1,3,0.0172
93,signflip,1,0.1,3,0.0136
94,signflip,1,0.1,3,0.0153
95,signflip,1,0.1,3,0.0106
96,signflip,1,0.1,3,0.0099
97,signflip,1,0.1,3,0.0072
98,signflip,1,0.1,3,0.0123
99,signflip,1,0.1,3,0.0124
100,signflip,1,0.1,3,0.0132
