round,client,attack,seed,alpha,num_byzantine,raw_score,softmax_weight,update_norm
1,0,signflip,1,0.1,1,0.2939906716346741,0.0992572158575058,0.7043854594230652
1,1,signflip,1,0.1,1,0.29630106687545776,0.0994868054986,0.7780498266220093
1,2,signflip,1,0.1,1,0.2669186592102051,0.09660617262125015,0.7055118680000305
1,3,signflip,1,0.1,1,0.3008197546005249,0.09993737190961838,0.702099084854126
1,4,signflip,1,0.1,1,0.33999496698379517,0.10393014550209045,0.7465484738349915
1,5,signflip,1,0.1,1,0.28583824634552,0.09845132380723953,0.7049868106842041
1,6,signflip,1,0.1,1,0.3042014241218567,0.1002759039402008,0.7342849969863892
1,7,signflip,1,0.1,1,0.35475921630859375,0.10547597706317902,0.7126306891441345
1,8,signflip,1,0.1,1,0.3501002788543701,0.10498571395874023,0.7583013772964478
1,9,signflip,1,0.1,1,0.21363508701324463,0.09159338474273682,0.7282534241676331
2,0,signflip,1,0.1,1,0.25425082445144653,0.10193541646003723,0.7494130730628967
2,1,signflip,1,0.1,1,0.2344592809677124,0.0999377965927124,0.7948725819587708
2,2,signflip,1,0.1,1,0.23734641075134277,0.1002267450094223,0.7420337200164795
2,3,signflip,1,0.1,1,0.2380020022392273,0.10029247403144836,0.7312982082366943
2,4,signflip,1,0.1,1,0.18972891569137573,0.0955660492181778,0.7615088820457458
2,5,signflip,1,0.1,1,0.22811132669448853,0.0993054062128067,0.7365565896034241
2,6,signflip,1,0.1,1,0.26760077476501465,0.1033053770661354,0.7777161002159119
2,7,signflip,1,0.1,1,0.24788230657577515,0.10128830373287201,0.7331387400627136
2,8,signflip,1,0.1,1,0.2670983076095581,0.10325348377227783,0.7709633111953735
2,9,signflip,1,0.1,1,0.1826198697090149,0.0948890671133995,0.777862548828125
3,0,signflip,1,0.1,1,0.24614328145980835,0.10245046764612198,0.7266836762428284
3,1,signflip,1,0.1,1,0.2471681833267212,0.1025555208325386,0.7926501631736755
3,2,signflip,1,0.1,1,0.16202181577682495,0.09418471902608871,0.7233030796051025
3,3,signflip,1,0.1,1,0.19737952947616577,0.09757445007562637,0.7069332599639893
3,4,signflip,1,0.1,1,0.1956627368927002,0.09740708023309708,0.7582927346229553
3,5,signflip,1,0.1,1,0.26194578409194946,0.10408230125904083,0.7304276823997498
3,6,signflip,1,0.1,1,0.2158123254776001,0.0993897020816803,0.7543805241584778
