round,client,attack,seed,alpha,num_byzantine,raw_score,softmax_weight,update_norm
1,0,mod_gaussian,1,0.5,1,0.36407607793807983,0.0979192852973938,0.7142667770385742
1,1,mod_gaussian,1,0.5,1,0.3751370310783386,0.09900838136672974,0.7128218412399292
1,2,mod_gaussian,1,0.5,1,0.4359528422355652,0.10521651804447174,0.7290700674057007
1,3,mod_gaussian,1,0.5,1,0.31333792209625244,0.0930749773979187,0.7078238725662231
1,4,mod_gaussian,1,0.5,1,0.3686477541923523,0.09836797416210175,0.6945441961288452
1,5,mod_gaussian,1,0.5,1,0.38029444217681885,0.09952032566070557,0.7386861443519592
1,6,mod_gaussian,1,0.5,1,0.4686979055404663,0.1087188720703125,0.7406467199325562
1,7,mod_gaussian,1,0.5,1,0.4162619113922119,0.10316497832536697,0.7300897836685181
1,8,mod_gaussian,1,0.5,1,0.343031108379364,0.09588011354207993,0.684784471988678
1,9,mod_gaussian,1,0.5,1,0.37634992599487305,0.09912854433059692,0.7193026542663574
2,0,mod_gaussian,1,0.5,1,0.3173506259918213,0.09738598763942719,0.7153918743133545
2,1,mod_gaussian,1,0.5,1,0.3605583906173706,0.10168604552745819,0.721233606338501
2,2,mod_gaussian,1,0.5,1,0.3709143400192261,0.10274457931518555,0.7236558198928833
2,3,mod_gaussian,1,0.5,1,0.2901444435119629,0.09477220475673676,0.7312220931053162
2,4,mod_gaussian,1,0.5,1,0.3721391558647156,0.10287050157785416,0.7019152641296387
2,5,mod_gaussian,1,0.5,1,0.34191209077835083,0.09980755299329758,0.750859260559082
2,6,mod_gaussian,1,0.5,1,0.3845682144165039,0.10415706038475037,0.7159276008605957
2,7,mod_gaussian,1,0.5,1,0.33852845430374146,0.09947040677070618,0.7179359197616577
2,8,mod_gaussian,1,0.5,1,0.32186728715896606,0.09782684594392776,0.7231723070144653
2,9,mod_gaussian,1,0.5,1,0.33660054206848145,0.09927882254123688,0.7454291582107544
3,0,mod_gaussian,1,0.5,1,0.3184334635734558,0.09914761036634445,0.7033213376998901
3,1,mod_gaussian,1,0.5,1,0.3262370824813843,0.09992434829473495,0.7002440094947815
3,2,mod_gaussian,1,0.5,1,0.365447461605072,0.10392025113105774,0.6914899349212646
3,3,mod_gaussian,1,0.5,1,0.2992069125175476,0.09725955128669739,0.7156788110733032
3,4,mod_gaussian,1,0.5,1,0.33878159523010254,0.10118574649095535,0.6984742283821106
3,5,mod_gaussian,1,0.5,1,0.34271538257598877,0.10158457607030869,0.7378936409950256
3,6,mod_gaussian,1,0.5,1,0.3376814126968384,0.10107448697090149,0.6962870359420776
3,7,mod_gaussian,1,0.5,1,0.32824474573135376,0.10012517124414444,0.7132314443588257
3,8,mod_gaussian,1,0.5,1,0.30440741777420044,0.09776667505502701,0.6897650361061096
3,9,mod_gaussian,1,0.5,1,0.30690884590148926,0.09801153093576431,0.701531171798706
4,0,mod_gaussian,1,0.5,1,0.28857219219207764,0.09807742387056351,0.7084134817123413
4,1,mod_gaussian,1,0.5,1,0.29230231046676636,0.09844394773244858,0.6919583082199097
4,2,mod_gaussian,1,0.5,1,0.34210729598999023,0.10347110033035278,0.6772190928459167
4,3,mod_gaussian,1,0.5,1,0.24470782279968262,0.09386831521987915,0.7031599879264832
4,4,mod_gaussian,1,0.5,1,0.3080815076828003,0.10000964254140854,0.6710485219955444
4,5,mod_gaussian,1,0.5,1,0.33305925130844116,0.10253911465406418,0.717706024646759
4,6,mod_gaussian,1,0.5,1,0.3367825746536255,0.10292160511016846,0.68476402759552
4,7,mod_gaussian,1,0.5,1,0.3187881112098694,0.10108615458011627,0.696410596370697
4,8,mod_gaussian,1,0.5,1,0.29507875442504883,0.09871765971183777,0.6770049333572388
4,9,mod_gaussian,1,0.5,1,0.31659841537475586,0.10086504369974136,0.7094365358352661
5,0,mod_gaussian,1,0.5,1,0.3049207925796509,0.10021641850471497,0.6844758987426758
5,1,mod_gaussian,1,0.5,1,0.33314841985702515,0.10308559238910675,0.6790236830711365
5,2,mod_gaussian,1,0.5,1,0.3177216649055481,0.1015075221657753,0.6788827180862427
5,3,mod_gaussian,1,0.5,1,0.28996849060058594,0.09872909635305405,0.7122146487236023
5,4,mod_gaussian,1,0.5,1,0.28979402780532837,0.09871187806129456,0.6589716076850891
5,5,mod_gaussian,1,0.5,1,0.3143816590309143,0.10116904973983765,0.6993809342384338
5,6,mod_gaussian,1,0.5,1,0.2960435748100281,0.09933071583509445,0.6569927334785461
5,7,mod_gaussian,1,0.5,1,0.30313611030578613,0.10003772377967834,0.6739506721496582
5,8,mod_gaussian,1,0.5,1,0.29382771253585815,0.09911084920167923,0.647738516330719
5,9,mod_gaussian,1,0.5,1,0.2835879325866699,0.09810115396976471,0.6811357736587524
6,0,mod_gaussian,1,0.5,1,0.31715112924575806,0.10269629955291748,0.6842488646507263
6,1,mod_gaussian,1,0.5,1,0.2719497084617615,0.09815762937068939,0.6679390072822571
6,2,mod_gaussian,1,0.5,1,0.2518463134765625,0.09620403498411179,0.6537590026855469
6,3,mod_gaussian,1,0.5,1,0.2756761908531189,0.09852409362792969,0.6801780462265015
6,4,mod_gaussian,1,0.5,1,0.3126428723335266,0.1022343561053276,0.6622385382652283
6,5,mod_gaussian,1,0.5,1,0.2994498610496521,0.10089443624019623,0.68442702293396
6,6,mod_gaussian,1,0.5,1,0.25309669971466064,0.0963243916630745,0.6340093612670898
6,7,mod_gaussian,1,0.5,1,0.31306612491607666,0.10227763652801514,0.6677173972129822
