round,client,attack,seed,alpha,num_byzantine,raw_score,softmax_weight,update_norm
1,0,signflip,2,1.0,3,0.47123444080352783,0.1027073860168457,0.7066750526428223
1,1,signflip,2,1.0,3,0.42878150939941406,0.09843841195106506,0.7148838043212891
1,2,signflip,2,1.0,3,0.44910353422164917,0.10045934468507767,0.7234985828399658
1,3,signflip,2,1.0,3,0.4321967363357544,0.09877517819404602,0.7329525351524353
1,4,signflip,2,1.0,3,0.4920770525932312,0.10487054288387299,0.7231207489967346
1,5,signflip,2,1.0,3,0.5069856643676758,0.10644572973251343,0.7163259983062744
1,6,signflip,2,1.0,3,0.42787909507751465,0.09834962338209152,0.7020673751831055
1,7,signflip,2,1.0,3,0.37369346618652344,0.09316229820251465,0.6833404898643494
1,8,signflip,2,1.0,3,0.4102902412414551,0.0966348871588707,0.7109481692314148
1,9,signflip,2,1.0,3,0.4460855722427368,0.10015662014484406,0.7111852169036865
2,0,signflip,2,1.0,3,0.39132463932037354,0.1006200909614563,0.6903182864189148
2,1,signflip,2,1.0,3,0.38896888494491577,0.10038333386182785,0.6970319151878357
2,2,signflip,2,1.0,3,0.37356412410736084,0.09884880483150482,0.7093428373336792
2,3,signflip,2,1.0,3,0.38321685791015625,0.09980758279561996,0.6978126764297485
2,4,signflip,2,1.0,3,0.3946879506111145,0.10095908492803574,0.6858130693435669
2,5,signflip,2,1.0,3,0.40964972972869873,0.10248096287250519,0.6904128789901733
2,6,signflip,2,1.0,3,0.39279621839523315,0.10076826810836792,0.6903257966041565
2,7,signflip,2,1.0,3,0.34643107652664185,0.0962027907371521,0.6808438897132874
2,8,signflip,2,1.0,3,0.40878385305404663,0.10239226371049881,0.6949067711830139
2,9,signflip,2,1.0,3,0.3602027893066406,0.0975368320941925,0.6864243745803833
3,0,signflip,2,1.0,3,0.36226212978363037,0.09892215579748154,0.6527888774871826
3,1,signflip,2,1.0,3,0.3406124711036682,0.09680354595184326,0.6911296844482422
3,2,signflip,2,1.0,3,0.39487606287002563,0.10220158100128174,0.6818104386329651
3,3,signflip,2,1.0,3,0.3860124349594116,0.1012997105717659,0.6778271794319153
3,4,signflip,2,1.0,3,0.3660956621170044,0.09930210560560226,0.6592923998832703
3,5,signflip,2,1.0,3,0.36953818798065186,0.09964454174041748,0.6582867503166199
3,6,signflip,2,1.0,3,0.38588881492614746,0.10128718614578247,0.6740149259567261
3,7,signflip,2,1.0,3,0.34856361150741577,0.09757630527019501,0.6580830812454224
3,8,signflip,2,1.0,3,0.3697187900543213,0.09966254234313965,0.6584329605102539
3,9,signflip,2,1.0,3,0.40557020902633667,0.10330040752887726,0.6759722232818604
4,0,signflip,2,1.0,3,0.3511834740638733,0.10004023462533951,0.6519786715507507
4,1,signflip,2,1.0,3,0.34114378690719604,0.09904088824987411,0.6655361652374268
4,2,signflip,2,1.0,3,0.341965913772583,0.09912234544754028,0.6720055937767029
4,3,signflip,2,1.0,3,0.35566145181655884,0.10048922151327133,0.6509503126144409
4,4,signflip,2,1.0,3,0.3042638301849365,0.09545479714870453,0.6437242031097412
4,5,signflip,2,1.0,3,0.3577563762664795,0.10069996118545532,0.6403361558914185
4,6,signflip,2,1.0,3,0.3682607412338257,0.10176332294940948,0.6377749443054199
4,7,signflip,2,1.0,3,0.3405168056488037,0.09897881001234055,0.649203896522522
4,8,signflip,2,1.0,3,0.3877517580986023,0.10376624763011932,0.6395456194877625
4,9,signflip,2,1.0,3,0.35720229148864746,0.10064417868852615,0.6411439776420593
5,0,signflip,2,1.0,3,0.33087462186813354,0.09881890565156937,0.6249896287918091
5,1,signflip,2,1.0,3,0.3248525857925415,0.09822560101747513,0.6362143754959106
5,2,signflip,2,1.0,3,0.3626343607902527,0.10200773924589157,0.655328631401062
5,3,signflip,2,1.0,3,0.362301230430603,0.1019737645983696,0.6512009501457214
5,4,signflip,2,1.0,3,0.35262054204940796,0.10099134594202042,0.6304224133491516
5,5,signflip,2,1.0,3,0.3568122386932373,0.10141555964946747,0.6263221502304077
5,6,signflip,2,1.0,3,0.3627512454986572,0.10201966017484665,0.6493797302246094
5,7,signflip,2,1.0,3,0.3093719482421875,0.09671670943498611,0.6458256244659424
5,8,signflip,2,1.0,3,0.33502858877182007,0.09923025220632553,0.6343106627464294
5,9,signflip,2,1.0,3,0.3286616802215576,0.09860046952962875,0.6237831711769104
6,0,signflip,2,1.0,3,0.2676231265068054,0.09616491198539734,0.6301775574684143
6,1,signflip,2,1.0,3,0.2472172975540161,0.09422247111797333,0.6383495926856995
6,2,signflip,2,1.0,3,0.3191070556640625,0.10124552249908447,0.6379345655441284
6,3,signflip,2,1.0,3,0.2836993336677551,0.09772336483001709,0.6433802843093872
6,4,signflip,2,1.0,3,0.3622809648513794,0.1057124137878418,0.6283324360847473
6,5,signflip,2,1.0,3,0.365173876285553,0.10601867735385895,0.6075427532196045
6,6,signflip,2,1.0,3,0.29668229818344116,0.09900037944316864,0.6322861909866333
6,7,signflip,2,1.0,3,0.3085780739784241,0.1001851037144661,0.6274048686027527
6,8,signflip,2,1.0,3,0.3241167664527893,0.10175400227308273,0.601290762424469
6,9,signflip,2,1.0,3,0.2862522602081299,0.09797317534685135,0.6129594445228577
7,0,signflip,2,1.0,3,0.2568492293357849,0.09771686792373657,0.5693163275718689
7,1,signflip,2,1.0,3,0.23654025793075562,0.09575235843658447,0.5993666052818298
7,2,signflip,2,1.0,3,0.26416993141174316,0.09843485057353973,0.6221049427986145
7,3,signflip,2,1.0,3,0.2859228849411011,0.10059955716133118,0.634952962398529
7,4,signflip,2,1.0,3,0.2712917923927307,0.09913839399814606,0.5974301695823669
7,5,signflip,2,1.0,3,0.3139227032661438,0.10345613211393356,0.5943114757537842
7,6,signflip,2,1.0,3,0.2385338544845581,0.09594343602657318,0.6294772028923035
7,7,signflip,2,1.0,3,0.2738646864891052,0.09939379245042801,0.6260510683059692
7,8,signflip,2,1.0,3,0.3362612724304199,0.10579320043325424,0.6164242625236511
7,9,signflip,2,1.0,3,0.3169652819633484,0.1037713810801506,0.6181469559669495
8,0,signflip,2,1.0,3,0.2637507915496826,0.0993662029504776,0.5999184846878052
8,1,signflip,2,1.0,3,0.2303175926208496,0.09609899669885635,0.6176860332489014
8,2,signflip,2,1.0,3,0.2323208451271057,0.09629169851541519,0.6203303337097168
8,3,signflip,2,1.0,3,0.2579613924026489,0.09879259765148163,0.6372315287590027
8,4,signflip,2,1.0,3,0.2896721363067627,0.10197558254003525,0.6140104532241821
8,5,signflip,2,1.0,3,0.2994707226753235,0.10297971218824387,0.5863929986953735
8,6,signflip,2,1.0,3,0.29986149072647095,0.10301996022462845,0.6467466950416565
8,7,signflip,2,1.0,3,0.2734639644622803,0.10033606737852097,0.6332314610481262
8,8,signflip,2,1.0,3,0.29629266262054443,0.10265295952558517,0.6062723398208618
8,9,signflip,2,1.0,3,0.2548544406890869,0.09848612546920776,0.6226733326911926
9,0,signflip,2,1.0,3,0.19289171695709229,0.09313545376062393,0.6035966277122498
9,1,signflip,2,1.0,3,0.22673213481903076,0.09634113311767578,0.6089024543762207
9,2,signflip,2,1.0,3,0.22133028507232666,0.09582211077213287,0.6262060403823853
9,3,signflip,2,1.0,3,0.28040623664855957,0.10165344923734665,0.6415111422538757
9,4,signflip,2,1.0,3,0.269331157207489,0.10053383558988571,0.6195458769798279
9,5,signflip,2,1.0,3,0.2913737893104553,0.1027744710445404,0.5919482707977295
9,6,signflip,2,1.0,3,0.282146692276001,0.10183052718639374,0.6420965194702148
9,7,signflip,2,1.0,3,0.2730610966682434,0.100909523665905,0.6325706839561462
