round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,gaussian,2,1,2,0.112060546875
1,1,gaussian,2,1,2,0.09466911764705882
1,2,gaussian,2,1,2,0.06579861111111111
1,3,gaussian,2,1,2,0.05386029411764706
1,4,gaussian,2,1,2,0.06228885135135135
1,5,gaussian,2,1,2,0.07283653846153847
1,6,gaussian,2,1,2,0.06304505813953488
1,7,gaussian,2,1,2,0.08729166666666667
1,8,gaussian,2,1,2,0.09050324675324675
1,9,gaussian,2,1,2,0.05797697368421053
2,0,gaussian,2,1,2,0.13330078125
2,1,gaussian,2,1,2,0.09963235294117648
2,2,gaussian,2,1,2,0.08628472222222222
2,3,gaussian,2,1,2,0.06636029411764706
2,4,gaussian,2,1,2,0.09269425675675676
2,5,gaussian,2,1,2,0.10048076923076923
2,6,gaussian,2,1,2,0.09193313953488372
2,7,gaussian,2,1,2,0.11229166666666666
2,8,gaussian,2,1,2,0.11607142857142858
2,9,gaussian,2,1,2,0.08367598684210527
3,0,gaussian,2,1,2,0.1162109375
3,1,gaussian,2,1,2,0.12022058823529412
3,2,gaussian,2,1,2,0.11059027777777777
3,3,gaussian,2,1,2,0.09613970588235295
3,4,gaussian,2,1,2,0.12014358108108109
3,5,gaussian,2,1,2,0.10528846153846154
3,6,gaussian,2,1,2,0.08521075581395349
3,7,gaussian,2,1,2,0.13479166666666667
3,8,gaussian,2,1,2,0.11465097402597403
3,9,gaussian,2,1,2,0.08326480263157894
4,0,gaussian,2,1,2,0.146484375
4,1,gaussian,2,1,2,0.10716911764705882
4,2,gaussian,2,1,2,0.1373263888888889
4,3,gaussian,2,1,2,0.10330882352941176
4,4,gaussian,2,1,2,0.12795608108108109
4,5,gaussian,2,1,2,0.15504807692307693
4,6,gaussian,2,1,2,0.10737645348837209
4,7,gaussian,2,1,2,0.148125
4,8,gaussian,2,1,2,0.15280032467532467
4,9,gaussian,2,1,2,0.12623355263157895
5,0,gaussian,2,1,2,0.16015625
5,1,gaussian,2,1,2,0.12463235294117647
5,2,gaussian,2,1,2,0.128125
5,3,gaussian,2,1,2,0.12352941176470589
5,4,gaussian,2,1,2,0.11972128378378379
5,5,gaussian,2,1,2,0.14038461538461539
5,6,gaussian,2,1,2,0.11355377906976744
5,7,gaussian,2,1,2,0.138125
5,8,gaussian,2,1,2,0.1578733766233766
5,9,gaussian,2,1,2,0.1225328947368421
6,0,gaussian,2,1,2,0.0126953125
6,1,gaussian,2,1,2,0.004227941176470588
6,2,gaussian,2,1,2,0.12291666666666666
6,3,gaussian,2,1,2,0.14044117647058824
6,4,gaussian,2,1,2,0.13619087837837837
6,5,gaussian,2,1,2,0.16947115384615385
6,6,gaussian,2,1,2,0.11700581395348837
6,7,gaussian,2,1,2,0.15979166666666667
6,8,gaussian,2,1,2,0.14488636363636365
6,9,gaussian,2,1,2,0.14967105263157895
7,0,gaussian,2,1,2,0.01806640625
7,1,gaussian,2,1,2,0.010294117647058823
7,2,gaussian,2,1,2,0.11180555555555556
7,3,gaussian,2,1,2,0.11084558823529411
7,4,gaussian,2,1,2,0.13429054054054054
7,5,gaussian,2,1,2,0.11442307692307692
7,6,gaussian,2,1,2,0.09956395348837209
7,7,gaussian,2,1,2,0.16458333333333333
7,8,gaussian,2,1,2,0.15117694805194806
7,9,gaussian,2,1,2,0.1171875
8,0,gaussian,2,1,2,0.013671875
8,1,gaussian,2,1,2,0.011948529411764705
8,2,gaussian,2,1,2,0.11753472222222222
8,3,gaussian,2,1,2,0.10386029411764706
8,4,gaussian,2,1,2,0.11845439189189189
8,5,gaussian,2,1,2,0.11634615384615385
8,6,gaussian,2,1,2,0.09992732558139535
8,7,gaussian,2,1,2,0.15
8,8,gaussian,2,1,2,0.13027597402597402
8,9,gaussian,2,1,2,0.12006578947368421
9,0,gaussian,2,1,2,0.012451171875
9,1,gaussian,2,1,2,0.03161764705882353
9,2,gaussian,2,1,2,0.09079861111111111
9,3,gaussian,2,1,2,0.09724264705882353
9,4,gaussian,2,1,2,0.125
9,5,gaussian,2,1,2,0.1264423076923077
9,6,gaussian,2,1,2,0.09193313953488372
9,7,gaussian,2,1,2,0.12979166666666667
9,8,gaussian,2,1,2,0.15381493506493507
9,9,gaussian,2,1,2,0.11122532894736842
10,0,gaussian,2,1,2,0.014404296875
10,1,gaussian,2,1,2,0.012316176470588235
10,2,gaussian,2,1,2,0.11475694444444444
10,3,gaussian,2,1,2,0.10386029411764706
10,4,gaussian,2,1,2,0.10578547297297297
10,5,gaussian,2,1,2,0.11899038461538461
10,6,gaussian,2,1,2,0.0912063953488372
10,7,gaussian,2,1,2,0.12895833333333334
10,8,gaussian,2,1,2,0.14894480519480519
10,9,gaussian,2,1,2,0.11225328947368421
11,0,gaussian,2,1,2,0.01806640625
11,1,gaussian,2,1,2,0.020588235294117647
11,2,gaussian,2,1,2,0.10416666666666667
11,3,gaussian,2,1,2,0.11139705882352942
11,4,gaussian,2,1,2,0.10958614864864864
11,5,gaussian,2,1,2,0.12451923076923077
11,6,gaussian,2,1,2,0.10337936046511628
11,7,gaussian,2,1,2,0.153125
11,8,gaussian,2,1,2,0.14914772727272727
11,9,gaussian,2,1,2,0.11636513157894737
12,0,gaussian,2,1,2,0.011962890625
12,1,gaussian,2,1,2,0.011580882352941177
12,2,gaussian,2,1,2,0.10347222222222222
12,3,gaussian,2,1,2,0.11323529411764706
12,4,gaussian,2,1,2,0.11402027027027027
12,5,gaussian,2,1,2,0.13846153846153847
12,6,gaussian,2,1,2,0.10065406976744186
12,7,gaussian,2,1,2,0.13479166666666667
12,8,gaussian,2,1,2,0.1367694805194805
12,9,gaussian,2,1,2,0.11430921052631579
13,0,gaussian,2,1,2,0.01123046875
13,1,gaussian,2,1,2,0.007904411764705882
13,2,gaussian,2,1,2,0.10434027777777778
13,3,gaussian,2,1,2,0.1
13,4,gaussian,2,1,2,0.1089527027027027
13,5,gaussian,2,1,2,0.12860576923076922
13,6,gaussian,2,1,2,0.09738372093023256
13,7,gaussian,2,1,2,0.12645833333333334
13,8,gaussian,2,1,2,0.15320616883116883
13,9,gaussian,2,1,2,0.10999177631578948
14,0,gaussian,2,1,2,0.008056640625
14,1,gaussian,2,1,2,0.01488970588235294
14,2,gaussian,2,1,2,0.11302083333333333
14,3,gaussian,2,1,2,0.11286764705882353
14,4,gaussian,2,1,2,0.11190878378378379
14,5,gaussian,2,1,2,0.12692307692307692
14,6,gaussian,2,1,2,0.09811046511627906
14,7,gaussian,2,1,2,0.15145833333333333
14,8,gaussian,2,1,2,0.14894480519480519
14,9,gaussian,2,1,2,0.12582236842105263
15,0,gaussian,2,1,2,0.01416015625
15,1,gaussian,2,1,2,0.01636029411764706
15,2,gaussian,2,1,2,0.11215277777777778
15,3,gaussian,2,1,2,0.11066176470588235
15,4,gaussian,2,1,2,0.11402027027027027
15,5,gaussian,2,1,2,0.1293269230769231
15,6,gaussian,2,1,2,0.08829941860465117
15,7,gaussian,2,1,2,0.14541666666666667
15,8,gaussian,2,1,2,0.1601055194805195
15,9,gaussian,2,1,2,0.12726151315789475
16,0,gaussian,2,1,2,0.009521484375
16,1,gaussian,2,1,2,0.011580882352941177
16,2,gaussian,2,1,2,0.11666666666666667
16,3,gaussian,2,1,2,0.11139705882352942
16,4,gaussian,2,1,2,0.1245777027027027
16,5,gaussian,2,1,2,0.13317307692307692
16,6,gaussian,2,1,2,0.09611191860465117
16,7,gaussian,2,1,2,0.13916666666666666
16,8,gaussian,2,1,2,0.15482954545454544
16,9,gaussian,2,1,2,0.13260690789473684
17,0,gaussian,2,1,2,0.006591796875
17,1,gaussian,2,1,2,0.017830882352941176
17,2,gaussian,2,1,2,0.11423611111111111
17,3,gaussian,2,1,2,0.11139705882352942
17,4,gaussian,2,1,2,0.11908783783783784
17,5,gaussian,2,1,2,0.12692307692307692
17,6,gaussian,2,1,2,0.10228924418604651
17,7,gaussian,2,1,2,0.15604166666666666
17,8,gaussian,2,1,2,0.1471185064935065
17,9,gaussian,2,1,2,0.09436677631578948
18,0,gaussian,2,1,2,0.0107421875
18,1,gaussian,2,1,2,0.012683823529411765
18,2,gaussian,2,1,2,0.10347222222222222
18,3,gaussian,2,1,2,0.10202205882352941
18,4,gaussian,2,1,2,0.11507601351351351
18,5,gaussian,2,1,2,0.14182692307692307
18,6,gaussian,2,1,2,0.09175145348837209
18,7,gaussian,2,1,2,0.13270833333333334
18,8,gaussian,2,1,2,0.16213474025974026
18,9,gaussian,2,1,2,0.10259046052631579
19,0,gaussian,2,1,2,0.0146484375
19,1,gaussian,2,1,2,0.004963235294117647
19,2,gaussian,2,1,2,0.11927083333333334
19,3,gaussian,2,1,2,0.10441176470588236
19,4,gaussian,2,1,2,0.11317567567567567
19,5,gaussian,2,1,2,0.12379807692307693
19,6,gaussian,2,1,2,0.109375
19,7,gaussian,2,1,2,0.12541666666666668
19,8,gaussian,2,1,2,0.14935064935064934
19,9,gaussian,2,1,2,0.12397203947368421
20,0,gaussian,2,1,2,0.0068359375
20,1,gaussian,2,1,2,0.007720588235294118
20,2,gaussian,2,1,2,0.10972222222222222
20,3,gaussian,2,1,2,0.10790441176470589
20,4,gaussian,2,1,2,0.1319679054054054
20,5,gaussian,2,1,2,0.14807692307692308
20,6,gaussian,2,1,2,0.10210755813953488
20,7,gaussian,2,1,2,0.17104166666666668
20,8,gaussian,2,1,2,0.13981331168831168
20,9,gaussian,2,1,2,0.11657072368421052
21,0,gaussian,2,1,2,0.01171875
21,1,gaussian,2,1,2,0.011029411764705883
21,2,gaussian,2,1,2,0.10486111111111111
21,3,gaussian,2,1,2,0.11066176470588235
21,4,gaussian,2,1,2,0.13555743243243243
21,5,gaussian,2,1,2,0.14903846153846154
21,6,gaussian,2,1,2,0.10465116279069768
21,7,gaussian,2,1,2,0.17020833333333332
21,8,gaussian,2,1,2,0.153612012987013
21,9,gaussian,2,1,2,0.1171875
22,0,gaussian,2,1,2,0.017578125
22,1,gaussian,2,1,2,0.011948529411764705
22,2,gaussian,2,1,2,0.11041666666666666
22,3,gaussian,2,1,2,0.11875
22,4,gaussian,2,1,2,0.12943412162162163
22,5,gaussian,2,1,2,0.13365384615384615
22,6,gaussian,2,1,2,0.11791424418604651
22,7,gaussian,2,1,2,0.15854166666666666
22,8,gaussian,2,1,2,0.14123376623376624
22,9,gaussian,2,1,2,0.11657072368421052
23,0,gaussian,2,1,2,0.0234375
23,1,gaussian,2,1,2,0.024080882352941178
23,2,gaussian,2,1,2,0.11979166666666667
23,3,gaussian,2,1,2,0.10863970588235294
23,4,gaussian,2,1,2,0.11972128378378379
23,5,gaussian,2,1,2,0.14182692307692307
23,6,gaussian,2,1,2,0.11573401162790697
23,7,gaussian,2,1,2,0.15583333333333332
23,8,gaussian,2,1,2,0.16294642857142858
23,9,gaussian,2,1,2,0.13034539473684212
24,0,gaussian,2,1,2,0.001220703125
24,1,gaussian,2,1,2,0.020036764705882355
24,2,gaussian,2,1,2,0.11753472222222222
24,3,gaussian,2,1,2,0.12444852941176471
24,4,gaussian,2,1,2,0.11507601351351351
24,5,gaussian,2,1,2,0.13822115384615385
24,6,gaussian,2,1,2,0.11936773255813954
24,7,gaussian,2,1,2,0.155625
24,8,gaussian,2,1,2,0.15300324675324675
24,9,gaussian,2,1,2,0.13877467105263158
25,0,gaussian,2,1,2,0.008056640625
25,1,gaussian,2,1,2,0.009191176470588236
25,2,gaussian,2,1,2,0.12899305555555557
25,3,gaussian,2,1,2,0.10386029411764706
25,4,gaussian,2,1,2,0.13217905405405406
25,5,gaussian,2,1,2,0.16370192307692308
25,6,gaussian,2,1,2,0.11518895348837209
25,7,gaussian,2,1,2,0.16875
25,8,gaussian,2,1,2,0.17674512987012986
25,9,gaussian,2,1,2,0.13692434210526316
26,0,gaussian,2,1,2,0.00830078125
26,1,gaussian,2,1,2,0.004595588235294118
26,2,gaussian,2,1,2,0.11388888888888889
26,3,gaussian,2,1,2,0.12316176470588236
26,4,gaussian,2,1,2,0.12880067567567569
26,5,gaussian,2,1,2,0.14471153846153847
26,6,gaussian,2,1,2,0.12390988372093023
26,7,gaussian,2,1,2,0.15375
26,8,gaussian,2,1,2,0.16680194805194806
26,9,gaussian,2,1,2,0.12952302631578946
27,0,gaussian,2,1,2,0.01513671875
27,1,gaussian,2,1,2,0.006617647058823529
27,2,gaussian,2,1,2,0.115625
27,3,gaussian,2,1,2,0.12518382352941176
27,4,gaussian,2,1,2,0.13006756756756757
27,5,gaussian,2,1,2,0.15240384615384617
27,6,gaussian,2,1,2,0.10882994186046512
27,7,gaussian,2,1,2,0.145625
27,8,gaussian,2,1,2,0.153612012987013
27,9,gaussian,2,1,2,0.12376644736842106
28,0,gaussian,2,1,2,0.009521484375
28,1,gaussian,2,1,2,0.01764705882352941
28,2,gaussian,2,1,2,0.11701388888888889
28,3,gaussian,2,1,2,0.11966911764705883
28,4,gaussian,2,1,2,0.11655405405405406
28,5,gaussian,2,1,2,0.14927884615384615
28,6,gaussian,2,1,2,0.10792151162790697
28,7,gaussian,2,1,2,0.16166666666666665
